타임스탬프,1.본인의 연령대,"2. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","3. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","4. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","5. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","6. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","7. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","8. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","9. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","10. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","11. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","12. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","13. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","14. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","15. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","16. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","17. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","18. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","19. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","20. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","21. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","22. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","23. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","24. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","25. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~26번까지)","26. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~26번까지)","25. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","26. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","29. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~31번까지)","30. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~31번까지)","31. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~31번까지)"
2022. 9. 22 오후 5:58:06,20-30대,3,4,3,2,1,1,2,3,3,3,3,2,3,3,2,3,4,3,2,3,2,3,3,,,4,3,,,
2022. 9. 22 오후 5:59:03,20-30대,3,2,4,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2,,,2,2,,,
2022. 9. 22 오후 6:00:31,20-30대,3,3,1,1,1,0,2,3,3,2,3,2,1,0,4,1,3,2,1,4,3,3,1,,,4,4,,,
2022. 9. 22 오후 6:00:39,20-30대,3,4,1,4,1,3,3,4,0,2,1,1,2,2,1,4,3,0,1,3,2,1,4,,,1,2,,,
2022. 9. 22 오후 6:07:48,20-30대,4,2,0,0,0,0,3,1,4,2,1,2,1,2,1,4,4,4,1,2,3,4,4,,,2,1,,,
2022. 9. 22 오후 6:12:22,20-30대,3,0,0,2,2,0,2,3,1,2,2,3,3,3,2,0,0,3,3,3,2,2,2,,,0,0,,,
2022. 9. 22 오후 6:16:09,20-30대,2,0,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,,,2,1,,,
2022. 9. 22 오후 6:18:49,20-30대,3,4,1,3,1,3,3,4,4,1,3,3,1,3,0,1,1,3,4,3,1,4,3,,,4,4,,,
2022. 9. 22 오후 6:19:50,20-30대,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,,,2,4,,,
2022. 9. 22 오후 6:22:29,20-30대,3,0,1,2,0,0,0,1,0,1,1,2,3,4,2,0,3,2,1,0,1,0,0,,,0,0,,,
2022. 9. 22 오후 6:23:21,20-30대,3,1,1,3,1,2,1,4,2,1,3,1,1,3,1,2,3,2,1,3,3,1,2,,,1,0,,,
2022. 9. 22 오후 6:23:50,20-30대,4,1,2,3,1,1,1,3,3,3,4,4,3,4,4,2,4,4,4,3,4,4,2,,,1,1,,,
2022. 9. 22 오후 6:24:01,20-30대,2,1,4,1,1,1,3,2,3,1,0,3,3,4,0,0,3,2,3,0,0,4,0,,,2,4,,,
2022. 9. 22 오후 6:24:20,20-30대,2,3,3,3,3,2,3,4,3,3,4,3,3,4,3,4,3,4,4,4,3,1,1,,,3,4,,,
2022. 9. 22 오후 6:25:57,20-30대,2,2,4,2,3,2,4,2,4,2,4,2,2,2,2,2,4,2,4,2,2,2,2,,,2,2,,,
2022. 9. 22 오후 6:30:11,20-30대,3,3,2,1,0,2,2,4,0,0,0,3,0,0,3,1,2,3,3,3,4,2,2,,,2,2,,,
2022. 9. 22 오후 6:30:51,20-30대,3,1,2,3,1,1,3,2,3,2,4,1,1,4,1,2,3,3,2,2,2,3,1,,,3,2,,,
2022. 9. 22 오후 6:33:43,20-30대,4,4,4,4,3,3,4,3,2,2,1,4,3,4,2,3,4,3,3,3,3,1,3,,,2,2,,,
2022. 9. 22 오후 6:36:51,20-30대,3,2,3,2,4,2,3,4,2,3,3,2,2,3,3,1,3,2,2,2,3,2,2,,,2,2,,,
2022. 9. 22 오후 6:39:58,20-30대,2,3,1,1,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,,,3,3,,,
2022. 9. 22 오후 7:08:20,20-30대,3,2,3,1,1,0,1,1,1,2,2,3,3,3,2,1,2,3,3,3,3,1,1,,,1,1,,,
2022. 9. 22 오후 7:16:07,20-30대,2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,,,0,0,,,
2022. 9. 22 오후 7:26:51,20-30대,3,0,2,4,1,0,4,2,1,3,1,0,0,3,2,2,2,4,2,0,4,3,3,,,0,2,,,
2022. 9. 22 오후 7:33:48,20-30대,3,3,4,3,2,1,1,4,1,1,3,2,3,1,1,1,3,2,1,2,2,1,1,,,1,1,,,
2022. 9. 22 오후 7:39:00,20-30대,3,1,1,1,1,1,2,3,1,3,3,3,4,4,4,1,1,3,1,3,2,3,3,,,1,1,,,
2022. 9. 22 오후 7:47:21,20-30대,3,2,1,0,0,0,1,2,3,3,0,1,2,3,1,1,2,1,1,1,1,3,1,,,2,2,,,
2022. 9. 22 오후 8:05:56,20-30대,3,3,3,1,2,0,3,4,2,2,4,3,2,3,2,2,2,2,2,2,2,2,1,,,1,2,,,
2022. 9. 22 오후 8:24:46,20-30대,3,1,2,3,2,2,3,4,3,3,2,2,3,2,3,3,3,3,1,3,3,3,3,,,3,3,,,
2022. 9. 22 오후 9:43:17,20-30대,4,1,1,1,1,0,1,2,0,4,4,4,4,4,4,0,4,4,2,0,0,0,1,,,0,0,,,
2022. 9. 22 오후 10:00:34,20-30대,3,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
2022. 9. 23 오전 7:22:56,20-30대,4,2,4,1,3,3,2,4,2,1,3,3,2,2,2,1,3,4,1,2,3,4,1,,,1,3,,,
2022. 9. 23 오전 10:03:55,20-30대,1,1,4,1,1,1,4,0,4,1,3,1,1,1,1,4,4,1,3,1,1,2,1,,,1,1,,,
2022. 9. 23 오전 10:43:51,20-30대,0,0,4,0,0,0,0,3,1,1,4,0,3,1,0,0,4,2,2,2,1,1,1,,,0,2,,,
2022. 9. 23 오전 11:27:01,20-30대,3,0,0,0,0,0,0,3,2,0,3,0,0,1,0,4,3,0,1,1,2,2,1,,,0,4,,,
2022. 9. 23 오전 11:49:11,20-30대,4,1,3,1,4,1,1,4,1,3,4,4,1,2,3,1,2,3,3,3,2,3,1,,,0,3,,,
2022. 9. 23 오후 12:11:14,40-60대,3,2,4,3,2,4,4,3,3,3,2,2,4,3,4,3,3,4,4,4,3,4,4,,,4,4,,,
2022. 9. 23 오후 12:21:08,40-60대,4,3,4,1,4,0,0,4,2,2,3,0,4,3,3,4,4,4,4,4,4,0,3,,,4,4,,,
2022. 9. 23 오후 12:24:02,40-60대,2,3,4,1,3,1,2,3,3,3,4,4,1,2,0,3,3,1,4,0,0,1,1,,,1,4,,,
2022. 9. 23 오후 12:43:33,20-30대,4,0,0,0,0,3,4,3,0,4,0,0,2,4,3,0,0,0,0,2,0,2,4,,,4,3,,,
2022. 9. 23 오후 12:44:45,20-30대,3,2,3,2,3,1,1,3,2,3,3,3,3,2,4,1,2,3,3,1,3,2,3,,,2,1,,,
2022. 9. 23 오후 12:44:45,20-30대,3,2,4,1,1,2,4,4,3,4,4,4,1,2,2,3,4,4,4,3,1,3,3,,,2,4,,,
2022. 9. 23 오후 12:45:31,40-60대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
2022. 9. 23 오후 12:45:37,40-60대,2,3,2,1,2,4,4,4,4,3,4,3,3,0,3,3,2,3,1,1,4,4,4,,,3,3,,,
